93	23	1
157	158	1
157	159	2
61	23	1
98	23	1
158	159	1
24	23	1
23	24	1
23	180	1
23	185	1
23	186	1
23	196	1
23	217	1
23	172	1
187	23	1
179	158	1
179	23	2
171	172	1
181	182	1
181	23	1
208	73	1
29	30	1
29	164	1
85	86	1
85	101	1
85	164	3
101	102	1
101	46	1
17	18	1
45	46	1
30	18	1
30	73	2
46	47	1
46	68	1
46	162	1
46	166	1
86	85	2
94	29	1
131	132	1
78	33	2
78	87	3
143	51	1
143	33	1
161	33	1
33	34	3
33	131	1
33	204	1
33	160	2
160	33	4
210	143	1
51	33	1
51	143	1
50	51	1
163	143	1
34	209	1
34	33	3
34	228	1
83	84	1
72	84	5
72	71	1
72	119	4
72	82	1
119	120	1
84	72	5
227	72	1
81	82	1
218	72	2
149	120	2
221	71	1
71	72	2
169	170	1
169	89	1
88	89	1
170	193	1
170	59	1
59	60	1
